"CIP_Code","CIP","CIP_T"
01.0000,010000,"Agriculture, General."
01.0101,010101,"Agricultural Business and Management, General."
01.0102,010102,Agribusiness/Agricultural Business Operations.
01.0103,010103,Agricultural Economics.
01.0104,010104,Farm/Farm and Ranch Management.
01.0105,010105,Agricultural/Farm Supplies Retailing and Wholesaling.
01.0106,010106,Agricultural Business Technology.
01.0199,010199,"Agricultural Business and Management, Other."
01.0201,010201,"Agricultural Mechanization, General."
01.0204,010204,Agricultural Power Machinery Operation.
01.0205,010205,Agricultural Mechanics and Equipment/Machine Technology.
01.0299,010299,"Agricultural Mechanization, Other."
01.0301,010301,"Agricultural Production Operations, General."
01.0302,010302,Animal/Livestock Husbandry and Production.
01.0303,010303,Aquaculture.
01.0304,010304,Crop Production.
01.0306,010306,Dairy Husbandry and Production.
01.0307,010307,Horse Husbandry/Equine Science and Management.
01.0308,010308,Agroecology and Sustainable Agriculture.
01.0309,010309,Viticulture and Enology.
01.0399,010399,"Agricultural Production Operations, Other."
01.0401,010401,Agricultural and Food Products Processing.
01.0504,010504,Dog/Pet/Animal Grooming.
01.0505,010505,Animal Training.
01.0507,010507,Equestrian/Equine Studies.
01.0508,010508,Taxidermy/Taxidermist.
01.0599,010599,"Agricultural and Domestic Animal Services, Other."
01.0601,010601,"Applied Horticulture/Horticulture Operations, General."
01.0603,010603,Ornamental Horticulture.
01.0604,010604,Greenhouse Operations and Management.
01.0605,010605,Landscaping and Groundskeeping.
01.0606,010606,Plant Nursery Operations and Management.
01.0607,010607,Turf and Turfgrass Management.
01.0608,010608,Floriculture/Floristry Operations and Management.
01.0699,010699,"Applied Horticulture/Horticultural Business Services, Other."
01.0701,010701,International Agriculture.
01.0801,010801,Agricultural and Extension Education Services.
01.0802,010802,Agricultural Communication/Journalism.
01.0899,010899,"Agricultural Public Services, Other."
01.0901,010901,"Animal Sciences, General."
01.0902,010902,Agricultural Animal Breeding.
01.0903,010903,Animal Health.
01.0904,010904,Animal Nutrition.
