"CIP","avgNumPerYear","avgPercentile"
010000,1,0.31
010902,0,0.345
011001,2,0.42
011201,0,0.232
030104,3,0.312
030204,1,0.8
030599,0,0.32
030601,1,0.735
040201,1,0.301
050101,1,0.283
050104,2,0.642
050110,20,0.53
050112,0,0.088
050113,1,0.51
050114,0,0.816
050118,0,0.826
050122,7,0.597
050123,9,0.567
050124,2,0.612
050125,3,0.534
050126,1,0.463
050127,4,0.506
050128,1,0.511
050199,7,0.445
090401,4,0.381
090701,0,0.276
090702,0,0.64
090900,7,0.481
090999,1,0.533
100105,0,0.886
110401,1,0.202
110701,56,0.479
111003,1,0.498
119999,0,0.628
130101,1,0.375
131202,1,0.425
131305,0,0.704
131308,1,0.298
139999,2,0.5
140101,3,0.445
140201,80,0.603
140401,0,0.627
140501,4,0.536
140701,4,0.448
140799,1,0.708
140801,58,0.583
140899,4,0.593
140901,30,0.567
140903,1,0.607
141001,51,0.536
141099,2,0.496
141201,2,0.567
141301,1,0.637
141401,6,0.601
141801,1,0.698
141901,100,0.596
142301,3,0.534
142501,1,0.55
142701,22,0.477
143101,3,0.661
143501,14,0.602
143701,14,0.691
143901,0,0.756
149999,0,0.358
150000,1,0.282
150201,1,0.444
150399,1,0.281
150401,0,0.743
150405,0,0.412
150507,0,0.046
150612,0,0.265
150613,1,0.468
150703,0,0.732
150801,2,0.386
150805,2,0.458
150899,0,0.193
151001,1,0.42
151501,2,0.369
151503,0,0.304
160504,0,0.675
160905,5,0.494
161101,5,0.54
161203,0,0.716
161501,0,0.574
190505,0,0.331
190605,0,0.257
190706,0,0.363
220000,8,0.508
220101,7,0.569
230101,19,0.447
230501,0,0.736
240101,1,0.03
240102,8,0.433
240103,6,0.396
260101,54,0.592
260102,1,0.522
260202,17,0.608
260203,0,0.749
260206,0,0.369
260502,1,0.449
260503,0,0.913
260507,0,0.383
260701,0,0.694
260801,0,0.536
260901,2,0.774
260999,0,0.493
261399,0,0.767
270101,40,0.555
270199,0,0.5
270501,1,0.559
280503,3,0.499
280599,0,0.198
280601,2,0.26
280699,0,0.542
290201,0,0.544
290207,10,0.491
290305,1,0.243
290409,0,0.317
301701,35,0.478
301901,0,0.249
310301,1,0.222
310501,1,0.444
310505,21,0.392
319999,0,0.424
380101,3,0.525
380201,0,0.037
400101,2,0.208
400201,0,0.382
400202,1,0.436
400299,0,0.674
400403,1,0.607
400404,31,0.577
400499,0,0.685
400501,20,0.547
400599,1,0.5
400601,8,0.455
400801,18,0.549
400899,1,0.54
401002,1,0.617
419999,1,0.22
420101,35,0.465
420901,0,0.261
421601,8,0.485
422101,0,0.823
422703,0,0.084
422704,0,0.426
422801,0,0.31
429999,1,0.514
430103,69,0.423
430106,1,0.459
430107,0,0.451
430301,2,0.535
430302,1,0.488
440201,1,0.403
440401,5,0.563
440701,3,0.369
450101,8,0.181
450201,2,0.379
450204,0,0.486
450299,1,0.504
450401,17,0.432
450601,38,0.5
450605,0,0.506
450699,6,0.526
450701,10,0.5
450799,2,0.453
450901,32,0.528
450902,2,0.489
450999,5,0.501
451001,59,0.5
451099,7,0.523
451101,15,0.397
490101,3,0.508
490104,3,0.271
490105,0,0.353
490199,0,0.377
500499,0,0.217
500605,0,0.037
500701,0,0.522
500704,0,0.167
500708,0,0.581
500799,1,0.243
500901,1,0.476
509999,0,0.64
510202,0,0.538
510203,1,0.256
510701,4,0.518
510702,0,0.566
510999,1,0.487
511506,0,0.103
511603,0,0.07
511608,1,0.591
511616,0,0.569
511699,0,0.876
512201,2,0.466
512207,1,0.363
512211,2,0.3
512299,0,0.499
512308,0,0.354
512401,0,0.132
513103,0,0.837
513808,1,0.449
513811,1,0.643
520201,153,0.387
520203,4,0.542
520213,0,0.369
520299,12,0.46
520301,9,0.386
520601,3,0.502
520808,0,0.882
520904,1,0.442
520909,0,0.734
521001,1,0.443
521201,11,0.387
521206,13,0.47
521301,2,0.461
521302,1,0.292
522001,2,0.497
522101,2,0.371
540101,24,0.444
540102,2,0.535
540103,0,0.263
540108,3,0.457
540199,2,0.319
600216,0,0.527
600234,0,0.668
600261,0,0.016
