afsc,tier,CIP_Code,submitDate,submittedBy,tierOrder
13M,D,29.0402,08NOV2018:00:00:00,1234567891A,2
13M,D,49.0101,08NOV2018:00:00:00,1234567891A,2
13M,D,49.0102,08NOV2018:00:00:00,1234567891A,2
13M,D,49.0104,08NOV2018:00:00:00,1234567891A,2
13M,D,49.0105,08NOV2018:00:00:00,1234567891A,2
13M,D,49.0106,08NOV2018:00:00:00,1234567891A,2
13M,D,49.0108,08NOV2018:00:00:00,1234567891A,2
13M,D,49.0199,08NOV2018:00:00:00,1234567891A,2
13M,D,52.0101,08NOV2018:00:00:00,1234567891A,2
13M,D,52.0201,08NOV2018:00:00:00,1234567891A,2
13M,D,52.0202,08NOV2018:00:00:00,1234567891A,2
13M,D,52.0203,08NOV2018:00:00:00,1234567891A,2
13M,D,52.0204,08NOV2018:00:00:00,1234567891A,2
13M,D,52.0205,08NOV2018:00:00:00,1234567891A,2
13M,D,52.0206,08NOV2018:00:00:00,1234567891A,2
13M,D,52.0207,08NOV2018:00:00:00,1234567891A,2
13M,D,52.0208,08NOV2018:00:00:00,1234567891A,2
13M,D,52.0209,08NOV2018:00:00:00,1234567891A,2
13M,D,52.021,08NOV2018:00:00:00,1234567891A,2
13M,D,52.0211,08NOV2018:00:00:00,1234567891A,2
13M,D,52.0212,08NOV2018:00:00:00,1234567891A,2
13M,D,52.0213,08NOV2018:00:00:00,1234567891A,2
13M,D,52.0299,08NOV2018:00:00:00,1234567891A,2
13M,D,52.0601,08NOV2018:00:00:00,1234567891A,2
13M,D,52.0701,08NOV2018:00:00:00,1234567891A,2
13M,D,52.0702,08NOV2018:00:00:00,1234567891A,2
13M,D,52.0703,08NOV2018:00:00:00,1234567891A,2
13M,D,52.0799,08NOV2018:00:00:00,1234567891A,2
13M,D,52.1101,08NOV2018:00:00:00,1234567891A,2
13M,D,52.1201,08NOV2018:00:00:00,1234567891A,2
13M,D,52.1206,08NOV2018:00:00:00,1234567891A,2
13M,D,52.1207,08NOV2018:00:00:00,1234567891A,2
13M,D,52.1299,08NOV2018:00:00:00,1234567891A,2
13M,D,52.1301,08NOV2018:00:00:00,1234567891A,2
13M,D,52.1302,08NOV2018:00:00:00,1234567891A,2
13M,D,52.1304,08NOV2018:00:00:00,1234567891A,2
13M,D,52.1399,08NOV2018:00:00:00,1234567891A,2
13M,D,52.1401,08NOV2018:00:00:00,1234567891A,2
13M,D,52.1402,08NOV2018:00:00:00,1234567891A,2
13M,D,52.1403,08NOV2018:00:00:00,1234567891A,2
13M,D,52.1499,08NOV2018:00:00:00,1234567891A,2
13M,D,52.1801,08NOV2018:00:00:00,1234567891A,2
13M,D,52.1802,08NOV2018:00:00:00,1234567891A,2
13M,D,52.1803,08NOV2018:00:00:00,1234567891A,2
13M,D,52.1804,08NOV2018:00:00:00,1234567891A,2
13M,D,52.1899,08NOV2018:00:00:00,1234567891A,2
13M,D,52.1901,08NOV2018:00:00:00,1234567891A,2
13M,D,52.1902,08NOV2018:00:00:00,1234567891A,2
13M,D,52.1903,08NOV2018:00:00:00,1234567891A,2
13M,D,52.1904,08NOV2018:00:00:00,1234567891A,2
13M,D,52.1905,08NOV2018:00:00:00,1234567891A,2
13M,D,52.1906,08NOV2018:00:00:00,1234567891A,2
13M,D,52.1907,08NOV2018:00:00:00,1234567891A,2
13M,D,52.1908,08NOV2018:00:00:00,1234567891A,2
13M,D,52.1909,08NOV2018:00:00:00,1234567891A,2
13M,D,52.191,08NOV2018:00:00:00,1234567891A,2
13M,D,52.1999,08NOV2018:00:00:00,1234567891A,2
13M,D,52.2001,08NOV2018:00:00:00,1234567891A,2
13M,P,1,08NOV2018:00:00:00,1234567891A,3
13M,P,1.0101,08NOV2018:00:00:00,1234567891A,3
13M,P,1.0102,08NOV2018:00:00:00,1234567891A,3
13M,P,1.0103,08NOV2018:00:00:00,1234567891A,3
13M,P,1.0104,08NOV2018:00:00:00,1234567891A,3
13M,P,1.0105,08NOV2018:00:00:00,1234567891A,3
13M,P,1.0106,08NOV2018:00:00:00,1234567891A,3
13M,P,1.0199,08NOV2018:00:00:00,1234567891A,3
13M,P,1.0201,08NOV2018:00:00:00,1234567891A,3
13M,P,1.0204,08NOV2018:00:00:00,1234567891A,3
13M,P,1.0205,08NOV2018:00:00:00,1234567891A,3
13M,P,1.0299,08NOV2018:00:00:00,1234567891A,3
13M,P,1.0301,08NOV2018:00:00:00,1234567891A,3
13M,P,1.0302,08NOV2018:00:00:00,1234567891A,3
13M,P,1.0303,08NOV2018:00:00:00,1234567891A,3
13M,P,1.0304,08NOV2018:00:00:00,1234567891A,3
13M,P,1.0306,08NOV2018:00:00:00,1234567891A,3
13M,P,1.0307,08NOV2018:00:00:00,1234567891A,3
13M,P,1.0308,08NOV2018:00:00:00,1234567891A,3
13M,P,1.0309,08NOV2018:00:00:00,1234567891A,3
13M,P,1.0399,08NOV2018:00:00:00,1234567891A,3
13M,P,1.0401,08NOV2018:00:00:00,1234567891A,3
13M,P,1.0504,08NOV2018:00:00:00,1234567891A,3
13M,P,1.0505,08NOV2018:00:00:00,1234567891A,3
13M,P,1.0507,08NOV2018:00:00:00,1234567891A,3
13M,P,1.0508,08NOV2018:00:00:00,1234567891A,3
13M,P,1.0599,08NOV2018:00:00:00,1234567891A,3
13M,P,1.0601,08NOV2018:00:00:00,1234567891A,3
13M,P,1.0603,08NOV2018:00:00:00,1234567891A,3
13M,P,1.0604,08NOV2018:00:00:00,1234567891A,3
13M,P,1.0605,08NOV2018:00:00:00,1234567891A,3
13M,P,1.0606,08NOV2018:00:00:00,1234567891A,3
13M,P,1.0607,08NOV2018:00:00:00,1234567891A,3
13M,P,1.0608,08NOV2018:00:00:00,1234567891A,3
13M,P,1.0699,08NOV2018:00:00:00,1234567891A,3
13M,P,1.0701,08NOV2018:00:00:00,1234567891A,3
